"","distid","intid","lunch","enrol","ptr","found","expp","revpp","avgsal","drop","choice","psa","year","staff","avgben","cpi","rexpp"
"42",3000,3,21.1700000762939,1691,21.1000003814697,5321,5626,6177,40934,4.40000009536743,16,58,1998,NA,NA,1.62999999523163,5539.7119140625
"43",3010,3,13.3999996185303,2702,NA,NA,3754,NA,24700,5.5,NA,NA,1992,113.800003051758,4225,1.40299999713898,4294.490234375
"44",3010,3,12.8999996185303,2656,NA,NA,4162,NA,27469,0.600000023841858,NA,NA,1993,113,4803,1.44500005245209,4622.84423828125
"45",3010,3,13,2715,NA,NA,4460,NA,30110,3.09999990463257,NA,NA,1994,104.199996948242,8077,1.48199999332428,4830.162109375
"46",3010,3,15.960000038147,2551,20.2999992370605,4794,5344,5805,40275,4.30000019073486,NA,0,1995,NA,NA,1.52400004863739,5628.03125
"47",3010,3,16.0200004577637,2622,21.6000003814697,5036,5532,6139,42989,5.19999980926514,NA,0,1996,NA,NA,1.56900000572205,5658.92919921875
"48",3010,3,16.1900005340576,2702,21.5,5277,5597,6063,42753,2.59999990463257,0,NA,1997,NA,NA,1.60500001907349,5597
"49",3010,3,15.7700004577637,2746,19.5,5462,5577,6127,39575,1.70000004768372,19,NA,1998,NA,NA,1.62999999523163,5491.46337890625
"50",3020,3,19.7999992370605,2456,NA,NA,3398,NA,28958,2.79999995231628,NA,NA,1992,87.1999969482422,4534,1.40299999713898,3887.23461914062
"51",3020,3,20.1000003814697,2403,NA,NA,3639,NA,31371,0,NA,NA,1993,88.3000030517578,5109,1.44500005245209,4041.93408203125
"52",3020,3,20.2999992370605,2459,NA,NA,3954,NA,29201,8.30000019073486,NA,NA,1994,97.8000030517578,6958,1.48199999332428,4282.166015625
"53",3020,3,20.2600002288818,2434,24.7999992370605,4274,4591,5012,40442,9.57999992370605,NA,0,1995,NA,NA,1.52400004863739,4835.009765625
"54",3020,3,19.4099998474121,2428,22.3999996185303,4572,4777,5616,39643,1.96000003814697,NA,0,1996,NA,NA,1.56900000572205,4886.60595703125
"55",3020,3,19.4599990844727,2442,22.2999992370605,4873,5157,5829,43367,3.90000009536743,0,NA,1997,NA,NA,1.60500001907349,5157
"56",3020,3,19.8799991607666,2425,21.3999996185303,5172,5305,5973,42668,3.20000004768372,2,NA,1998,NA,NA,1.62999999523163,5223.634765625
"57",3030,3,21.5,2881,NA,NA,3497,NA,27970,9.39999961853027,NA,NA,1992,94.9000015258789,4753,1.40299999713898,4000.48828125
"58",3030,3,20.8999996185303,3016,NA,NA,3555,NA,28426,7.40000009536743,NA,NA,1993,94.5,5130,1.44500005245209,3948.63305664062
"59",3030,3,21.7999992370605,3031,NA,NA,3893,NA,76412,3.29999995231628,NA,NA,1994,37.0999984741211,18754,1.48199999332428,4216.10302734375
"60",3030,3,22.1599998474121,2922,22.1000003814697,4200,4599,4993,38823,6.01000022888184,NA,0,1995,NA,NA,1.52400004863739,4843.43505859375
"61",3030,3,22.2099990844727,2930,22.6000003814697,4506,5041,5340,40606,11.6899995803833,NA,0,1996,NA,NA,1.56900000572205,5156.66357421875
"62",3030,3,24.3099994659424,2977,24,4816,5223,5702,44048,6.69999980926514,0,NA,1997,NA,NA,1.60500001907349,5223
"63",3030,3,22.7299995422363,2999,21.8999996185303,5170,5580,6080,42701,2.90000009536743,26,NA,1998,NA,NA,1.62999999523163,5494.4169921875
"64",3040,3,19.5,2719,NA,NA,3679,NA,22749,1.60000002384186,NA,NA,1992,116.800003051758,4004,1.40299999713898,4208.69189453125
"65",3040,3,20,2786,NA,NA,3895,NA,24346,1.60000002384186,NA,NA,1993,116.5,4326,1.44500005245209,4326.2802734375
"66",3040,3,19.8999996185303,2849,NA,NA,4483,NA,38227,2.5,NA,NA,1994,81.1999969482422,9380,1.48199999332428,4855.07080078125
"67",3040,3,17.7199993133545,2892,22,4606,5109,5452,37693,7.15999984741211,NA,0,1995,NA,NA,1.52400004863739,5380.541015625
"68",3040,3,18.7199993133545,3004,22.2999992370605,4868,5122,5534,36614,1.13999998569489,NA,0,1996,NA,NA,1.56900000572205,5239.52197265625
"69",3040,3,17.9200000762939,3166,22.2000007629395,5130,5407,5962,38003,6.09999990463257,11,NA,1997,NA,NA,1.60500001907349,5407
"70",3040,3,20.3199996948242,3222,21.7999992370605,5388,5681,6248,39831,4.90000009536743,18,NA,1998,NA,NA,1.62999999523163,5593.8681640625
"71",3050,3,31.1000003814697,1665,NA,NA,4068,NA,32149,7.19999980926514,NA,NA,1992,106,97,1.40299999713898,4653.69921875
"72",3050,3,33.4000015258789,1643,NA,NA,4246,NA,29414,6.69999980926514,NA,NA,1993,104.599998474121,5675,1.44500005245209,4716.14501953125
"73",3050,3,30.2999992370605,1643,NA,NA,4625,NA,69335,6.30000019073486,NA,NA,1994,45.7999992370605,18640,1.48199999332428,5008.8564453125
"74",3050,3,34.2000007629395,1521,21.2999992370605,4754,5438,5765,38845,9.64000034332275,NA,0,1995,NA,NA,1.52400004863739,5727.02734375
"75",3050,3,30.8400001525879,1553,21.3999996185303,5000,5371,6006,36287,0,NA,0,1996,NA,NA,1.56900000572205,5494.2353515625
"76",3050,3,30.3400001525879,1602,21.6000003814697,5245,5762,6154,38220,7.69999980926514,0,34,1997,NA,NA,1.60500001907349,5762
"77",3050,3,31.5900001525879,1612,22.1000003814697,5462,6076,6578,39713,12.5,0,58,1998,NA,NA,1.62999999523163,5982.81005859375
"78",3060,3,26.6000003814697,877,NA,NA,3753,NA,26650,6.90000009536743,NA,NA,1992,98.5999984741211,5065,1.40299999713898,4293.34619140625
"79",3060,3,28.3999996185303,873,NA,NA,3942,NA,27139,13,NA,NA,1993,103.5,5410,1.44500005245209,4378.484375
"80",3060,3,29.3999996185303,860,NA,NA,4417,NA,25443,4.90000009536743,NA,NA,1994,119.5,7405,1.48199999332428,4783.59326171875
"81",3060,3,30.6900005340576,859,20,4636,5049,5576,36264,-0.949999988079071,NA,0,1995,NA,NA,1.52400004863739,5317.35205078125
"82",3060,3,29.7199993133545,842,18.7999992370605,4895,5354,5622,36130,2.74000000953674,NA,0,1996,NA,NA,1.56900000572205,5476.84521484375
"83",3060,3,24.1200008392334,825,19.5,5154,5654,6178,37632,8.10000038146973,0,NA,1997,NA,NA,1.60500001907349,5654
"84",3060,3,23.7700004577637,816,18.7999992370605,5408,5913,6422,36825,3.70000004768372,0,NA,1998,NA,NA,1.62999999523163,5822.31005859375
"85",3070,3,18,1283,NA,NA,3430,NA,26282,6.69999980926514,NA,NA,1992,97.3000030517578,4224,1.40299999713898,3923.841796875
"86",3070,3,22.1000003814697,1305,NA,NA,3654,NA,28684,6.59999990463257,NA,NA,1993,93.5999984741211,4883,1.44500005245209,4058.59497070312
"87",3070,3,21.6000003814697,1369,NA,NA,3807,NA,36020,6.19999980926514,NA,NA,1994,74.1999969482422,8894,1.48199999332428,4122.9658203125
"88",3070,3,20.2399997711182,1365,23.3999996185303,4352,4735,5060,37730,-1.26999998092651,NA,0,1995,NA,NA,1.52400004863739,4986.6630859375
"89",3070,3,19.7900009155273,1352,24.1000003814697,4642,5082,5251,42228,9.69999980926514,NA,0,1996,NA,NA,1.56900000572205,5198.60400390625
"90",3070,3,18.7900009155273,1324,21.1000003814697,4934,5479,5759,41064,0.400000005960464,0,NA,1997,NA,NA,1.60500001907349,5479
"91",3070,3,19,1314,21.5,5223,5568,6002,44067,5.5,17,NA,1998,NA,NA,1.62999999523163,5482.60107421875
"92",3080,70,15.3000001907349,540,NA,NA,5856,NA,30363,5.5,NA,NA,1992,138,5811,1.40299999713898,6699.13037109375
"93",3080,70,18.7000007629395,594,NA,NA,5738,NA,33763,3.79999995231628,NA,NA,1993,123,6884,1.44500005245209,6373.34912109375
"94",3080,70,21.2000007629395,657,NA,NA,5964,NA,35351,0,NA,NA,1994,112.599998474121,10078,1.48199999332428,6458.98779296875
"95",3080,70,21.5300006866455,691,19.1000003814697,6831,6292,7411,43847,5.84999990463257,NA,0,1995,NA,NA,1.52400004863739,6626.4169921875
"96",3080,70,25.7099990844727,700,17.7999992370605,6984,6841,7842,42386,2.19000005722046,NA,0,1996,NA,NA,1.56900000572205,6997.9638671875
"97",3080,70,20.5,694,17.2999992370605,7139,6609,7202,41084,6.40000009536743,0,NA,1997,NA,NA,1.60500001907349,6609
"98",3080,70,20.5300006866455,693,16.8999996185303,7293,7209,8373,40252,2.79999995231628,0,NA,1998,NA,NA,1.62999999523163,7098.4326171875
"99",3100,70,9.69999980926514,2723,NA,NA,4121,NA,29560,4.90000009536743,NA,NA,1992,94.6999969482422,4894,1.40299999713898,4714.330078125
"100",3100,70,13.3000001907349,2774,NA,NA,4475,NA,30860,4,NA,NA,1993,91.3000030517578,8435,1.44500005245209,4970.50146484375
"101",3100,70,10.8999996185303,2112,NA,NA,3966,NA,33356,7.09999990463257,NA,NA,1994,85.0999984741211,8812,1.48199999332428,4295.162109375
"102",3100,70,11.9200000762939,2131,23.5,4649,4390,5156,41644,6.32000017166138,NA,0,1995,NA,NA,1.52400004863739,4623.32666015625
"103",3100,70,9.59000015258789,2132,23.2999992370605,4906,4803,5526,42493,3.75,NA,0,1996,NA,NA,1.56900000572205,4913.20263671875
"104",3100,70,11.6300001144409,2224,23.2999992370605,5164,4894,5736,42656,7.19999980926514,0,NA,1997,NA,NA,1.60500001907349,4894
"105",3100,70,10.8100004196167,2219,22.3999996185303,5416,5045,6158,44476,4.59999990463257,0,NA,1998,NA,NA,1.62999999523163,4967.62255859375
"106",3440,3,0,53,NA,NA,2170,NA,18058,NA,NA,NA,1992,81.0999984741211,2713,1.40299999713898,2482.43041992188
"107",3440,3,0,51,NA,NA,2554,NA,15115,NA,NA,NA,1993,117.599998474121,1868,1.44500005245209,2836.79565429688
"108",3440,3,0,50,NA,NA,3006,NA,15144,0,NA,NA,1994,140,1889,1.48199999332428,3255.48583984375
"109",3440,3,0,31,14.1000003814697,6213,5569,8580,47209,0,NA,0,1995,NA,NA,1.52400004863739,5864.98974609375
"110",3440,3,0,30,9.30000019073486,6366,6902,10102,37836,0,NA,0,1996,NA,NA,1.56900000572205,7060.36328125
"111",3440,3,0,27,13.3000001907349,6521,8216,6140,65617,NA,0,NA,1997,NA,NA,1.60500001907349,8216
"112",3440,3,0,26,11.6999998092651,6675,7657,8204,43274,NA,0,NA,1998,NA,NA,1.62999999523163,7539.5615234375
"113",4000,4,40.2000007629395,2087,NA,NA,3705,NA,28169,6.40000009536743,NA,NA,1992,97.8000030517578,5420,1.40299999713898,4238.435546875
"114",4000,4,41.5,2078,NA,NA,4056,NA,29052,7.59999990463257,NA,NA,1993,101,6357,1.44500005245209,4505.10693359375
"115",4000,4,40.0999984741211,2049,NA,NA,4543,NA,26305,5.59999990463257,NA,NA,1994,106.699996948242,7612,1.48199999332428,4920.05078125
"116",4000,4,34.9900016784668,1992,24.2999992370605,4386,4969,5446,40980,4.96999979019165,NA,0,1995,NA,NA,1.52400004863739,5233.10009765625
"117",4000,4,34.0800018310547,476,23.6000003814697,0,3515,0,40320,0,NA,0,1996,NA,NA,1.56900000572205,3595.65014648438
"118",4000,4,35.1300010681152,476,23.2999992370605,0,3654,0,41152,NA,0,0,1997,NA,NA,1.60500001907349,3654
"119",4000,4,36.4300003051758,465,22.5,0,3887,0,42340,NA,0,0,1998,NA,NA,1.62999999523163,3827.38354492188
"120",4010,4,30.1000003814697,5971,NA,NA,3567,NA,26250,6.30000019073486,NA,NA,1992,101.099998474121,5230,1.40299999713898,4080.56665039062
"121",4010,4,30.8999996185303,5945,NA,NA,3765,NA,29419,8.69999980926514,NA,NA,1993,94.3000030517578,6313,1.44500005245209,4181.8857421875
"122",4010,4,30,5954,NA,NA,4115,NA,29500,3.79999995231628,NA,NA,1994,97.8000030517578,8369,1.48199999332428,4456.5283203125
"123",4010,4,32.3899993896484,5773,26.1000003814697,4211,4711,5117,41827,6.32999992370605,NA,0,1995,NA,NA,1.52400004863739,4961.3876953125
"124",4010,4,31.2700004577637,5842,24.1000003814697,4516,5118,5508,39714,8.06999969482422,NA,0,1996,NA,NA,1.56900000572205,5235.43017578125
"125",4010,4,32.1699981689453,5843,23.1000003814697,4825,5305,5847,39804,7.5,0,NA,1997,NA,NA,1.60500001907349,5305
"126",4010,4,34.1100006103516,5713,21.7999992370605,5170,5630,6222,40150,4.09999990463257,0,NA,1998,NA,NA,1.62999999523163,5543.650390625
"127",5010,28,41.5,184,NA,NA,4340,NA,20265,2,NA,NA,1992,130.800003051758,4720,1.40299999713898,4964.86083984375
"128",5010,28,45.5,186,NA,NA,4857,NA,21565,0,NA,NA,1993,129,4800,1.44500005245209,5394.79931640625
"129",5010,28,45.9000015258789,180,NA,NA,5267,NA,23269,4.09999990463257,NA,NA,1994,128.100006103516,7638,1.48199999332428,5704.1396484375
"130",5010,28,50.25,192,17.6000003814697,5425,5130,7000,26276,2.03999996185303,NA,0,1995,NA,NA,1.52400004863739,5402.6572265625
"131",5010,28,48.4199981689453,190,16.7999992370605,5578,6027,7203,30026,2,NA,0,1996,NA,NA,1.56900000572205,6165.28662109375
"132",5010,28,47.9199981689453,193,17,5733,6283,6930,32530,7.19999980926514,8,NA,1997,NA,NA,1.60500001907349,6283
"133",5010,28,45.310001373291,188,14.1000003814697,5887,7035,6943,28090,1.79999995231628,0,0,1998,NA,NA,1.62999999523163,6927.10107421875
"134",5035,15,27.3999996185303,489,NA,NA,4311,NA,26953,2,NA,NA,1992,112.5,5945,1.40299999713898,4931.685546875
"135",5035,15,32.2999992370605,491,NA,NA,4643,NA,29865,3.5,NA,NA,1993,112.800003051758,6678,1.44500005245209,5157.103515625
"136",5035,15,33.0999984741211,486,NA,NA,5270,NA,31696,2.90000009536743,NA,NA,1994,113.199996948242,9281,1.48199999332428,5707.388671875
"137",5035,15,33.4599990844727,512,19.5,5961,5821,6722,40716,1.37000000476837,NA,0,1995,NA,NA,1.52400004863739,6130.3837890625
"138",5035,15,31.0200004577637,501,19.7000007629395,6114,6171,7364,44065,1.29999995231628,NA,0,1996,NA,NA,1.56900000572205,6312.5908203125
"139",5035,15,33.2000007629395,498,19.6000003814697,6269,6831,7953,49797,0.600000023841858,0,NA,1997,NA,NA,1.60500001907349,6831
"140",5035,15,32.0900001525879,520,21.3999996185303,6423,6225,7370,47710,2.90000009536743,0,NA,1998,NA,NA,1.62999999523163,6129.5244140625
"141",5040,28,28.2999992370605,603,NA,NA,4339,NA,27492,0.600000023841858,NA,NA,1992,113.400001525879,5976,1.40299999713898,4963.71728515625
"142",5040,28,26.1000003814697,626,NA,NA,4551,NA,30050,0.600000023841858,NA,NA,1993,107.5,6777,1.44500005245209,5054.9169921875
"143",5040,28,22.5,616,NA,NA,5275,NA,34066,4.69999980926514,NA,NA,1994,103,10959,1.48199999332428,5712.8037109375
"144",5040,28,20.0900001525879,636,19.8999996185303,5890,5635,6615,42200,1.27999997138977,NA,0,1995,NA,NA,1.52400004863739,5934.498046875
"145",5040,28,19.5599994659424,658,14.8999996185303,6043,5722,6725,31357,3.30999994277954,NA,0,1996,NA,NA,1.56900000572205,5853.28857421875
"146",5040,28,19.8799991607666,654,20,6198,6120,6994,45462,4.19999980926514,0,NA,1997,NA,NA,1.60500001907349,6120
"147",5040,28,19.7900009155273,650,19.8999996185303,6352,6087,6961,45434,4.69999980926514,1,NA,1998,NA,NA,1.62999999523163,5993.64111328125
"148",5060,28,22.2999992370605,1281,NA,NA,4547,NA,28767,3,NA,NA,1992,98.9000015258789,5927,1.40299999713898,5201.6640625
"149",5060,28,23.3999996185303,1276,NA,NA,4902,NA,28529,0.800000011920929,NA,NA,1993,106,6115,1.44500005245209,5444.78173828125
"150",5060,28,23.2999992370605,1338,NA,NA,5083,NA,27558,0,NA,NA,1994,111.400001525879,7703,1.48199999332428,5504.86865234375
"151",5060,28,21.4099998474121,1358,21.7000007629395,5278,5506,5799,44386,6.21999979019165,NA,0,1995,NA,NA,1.52400004863739,5798.6416015625
"152",5060,28,21.25,1439,22.3999996185303,5431,5655,5953,48022,3.36999988555908,NA,0,1996,NA,NA,1.56900000572205,5784.75146484375
"153",5060,28,22.6299991607666,1449,22.1000003814697,5586,5983,6022,50153,0,0,196,1997,NA,NA,1.60500001907349,5983
"154",5060,28,24.9500007629395,1443,21.6000003814697,5740,5580,5856,44237,4.40000009536743,0,206,1998,NA,NA,1.62999999523163,5494.4169921875
"155",5065,15,30.1000003814697,281,NA,NA,3861,NA,26477,0,NA,NA,1992,103.300003051758,5481,1.40299999713898,4416.89599609375
"156",5065,15,27.3999996185303,273,NA,NA,4169,NA,27335,4.40000009536743,NA,NA,1993,108.099998474121,5567,1.44500005245209,4630.619140625
"157",5065,15,29.2000007629395,278,NA,NA,4800,NA,28186,1.10000002384186,NA,NA,1994,115,8136,1.48199999332428,5198.38037109375
"158",5065,15,29.7199993133545,291,20.6000003814697,5413,5161,6129,38856,0,NA,0,1995,NA,NA,1.52400004863739,5435.30517578125
"159",5065,15,27.9200000762939,287,19.6000003814697,5566,5757,7149,41056,12.1199998855591,NA,0,1996,NA,NA,1.56900000572205,5889.091796875
"160",5065,15,39.439998626709,264,17.8999996185303,5721,6769,7163,43072,1.10000002384186,0,NA,1997,NA,NA,1.60500001907349,6769
"161",5065,15,31.75,255,17.2999992370605,5875,6833,7418,43353,0,0,NA,1998,NA,NA,1.62999999523163,6728.19921875
"162",5070,28,32.0999984741211,928,NA,NA,4140,NA,27906,4.19999980926514,NA,NA,1992,108.300003051758,5618,1.40299999713898,4736.0654296875
"163",5070,28,34.2999992370605,991,NA,NA,4109,NA,28046,10.6000003814697,NA,NA,1993,107.5,5819,1.44500005245209,4563.9755859375
"164",5070,28,30.5,970,NA,NA,4649,NA,30364,7.19999980926514,NA,NA,1994,105.800003051758,8902,1.48199999332428,5034.84814453125
"165",5070,28,33.5900001525879,1025,21.1000003814697,4996,5198,5811,37115,3.32999992370605,NA,0,1995,NA,NA,1.52400004863739,5474.271484375
"166",5070,28,40.4799995422363,1038,20.7999992370605,5153,5574,6475,35642,5.46000003814697,NA,0,1996,NA,NA,1.56900000572205,5701.89306640625
"167",5070,28,53.9000015258789,1067,20.6000003814697,5308,6112,6238,39203,9.5,19,NA,1997,NA,NA,1.60500001907349,6112
"168",5070,28,55.6199989318848,1097,21.5,5462,5907,6818,39657,13.5,1,NA,1998,NA,NA,1.62999999523163,5816.40185546875
"169",6010,9,40.5999984741211,536,NA,NA,3553,NA,26966,2.20000004768372,NA,NA,1992,93.3000030517578,4269,1.40299999713898,4064.55102539062
"170",6010,9,44.0999984741211,524,NA,NA,4143,NA,28138,4.09999990463257,NA,NA,1993,99.1999969482422,4668,1.44500005245209,4601.740234375
"171",6010,9,42.2999992370605,523,NA,NA,4232,NA,28887,3.79999995231628,NA,NA,1994,104.199996948242,7316,1.48199999332428,4583.23876953125
"172",6010,9,49.5999984741211,519,21.1000003814697,4200,4719,5350,36342,5.69999980926514,NA,0,1995,NA,NA,1.52400004863739,4969.81298828125
"173",6010,9,47.2799987792969,506,20.3999996185303,4506,5111,5785,37611,2.79999995231628,NA,0,1996,NA,NA,1.56900000572205,5228.26953125
"174",6010,9,47.3499984741211,489,18.8999996185303,4816,5508,6077,37424,1.89999997615814,0,NA,1997,NA,NA,1.60500001907349,5508
"175",6010,9,49.0900001525879,479,17.7999992370605,5170,5994,6421,42381,5.80000019073486,0,NA,1998,NA,NA,1.62999999523163,5902.0673828125
"176",6020,9,32.4000015258789,566,NA,NA,3792,NA,22777,8,NA,NA,1992,118.400001525879,4888,1.40299999713898,4337.96142578125
"177",6020,9,31.3999996185303,570,NA,NA,3956,NA,25987,4.40000009536743,NA,NA,1993,109.099998474121,5323,1.44500005245209,4394.03466796875
"178",6020,9,30,577,NA,NA,4301,NA,38941,1.20000004768372,NA,NA,1994,76.5999984741211,11515,1.48199999332428,4657.9658203125
"179",6020,9,35.5499992370605,580,20.8999996185303,4946,5132,5727,36862,4.07000017166138,NA,0,1995,NA,NA,1.52400004863739,5404.763671875
"180",6020,9,32.4300003051758,578,18.2999992370605,5153,5582,6519,34073,-0.629999995231628,NA,0,1996,NA,NA,1.56900000572205,5710.07666015625
"181",6020,9,31.7600002288818,605,18.7000007629395,5308,5641,6346,35745,5.69999980926514,0,NA,1997,NA,NA,1.60500001907349,5641
"182",6020,9,37.7299995422363,603,18.6000003814697,5462,5447,6414,37227,5.5,0,NA,1998,NA,NA,1.62999999523163,5363.45703125
"183",6050,9,34.2999992370605,2169,NA,NA,3282,NA,28115,4.19999980926514,NA,NA,1992,84.9000015258789,4781,1.40299999713898,3754.533203125
"184",6050,9,33.7999992370605,2171,NA,NA,3396,NA,28998,6,NA,NA,1993,87.5999984741211,5010,1.44500005245209,3772.02758789062
"185",6050,9,32.5,2202,NA,NA,3741,NA,30844,9.39999961853027,NA,NA,1994,85,7408,1.48199999332428,4051.48779296875
"186",6050,9,38.8199996948242,2128,25.3999996185303,4200,4487,4994,42049,5.84999990463257,NA,0,1995,NA,NA,1.52400004863739,4725.48193359375
"187",6050,9,37.4300003051758,2167,26.2999992370605,4506,4614,5412,44549,8.53999996185303,NA,0,1996,NA,NA,1.56900000572205,4719.8662109375
"188",6050,9,34.9500007629395,2090,24.8999996185303,4816,4889,5830,44565,4.69999980926514,0,NA,1997,NA,NA,1.60500001907349,4889
"189",6050,9,34.310001373291,2078,24.8999996185303,5170,5164,6269,46815,9.89999961853027,0,NA,1998,NA,NA,1.62999999523163,5084.79736328125
"190",7010,31,62.5,56,NA,NA,3185,NA,20497,NA,NA,NA,1992,107.099998474121,6077,1.40299999713898,3643.5673828125
"191",7010,31,61.7999992370605,54,NA,NA,3869,NA,20233,NA,NA,NA,1993,116.699996948242,7013,1.44500005245209,4297.4013671875
"192",7010,31,62.5,62,NA,NA,3583,NA,17409,0,NA,NA,1994,125.599998474121,7264,1.48199999332428,3880.37451171875
